 N       | D        | Function                       | CPU Time (s)  | GPU Time (s)  | Speedup 
---------------------------------------------------------------------------------------------------
1000     | 2        | KMeans Torch CPU vs GPU        | 0.032259      | 0.023852      | 1.35x
1000     | 2        | KMeans CuPy 1                  | 0.080549      | 0.446821      | 0.18x
1000     | 2        | KMeans CuPy 2                  | 0.043660      | 0.087302      | 0.50x
1000     | 2        | KMeans l2 vs. cosine           | 0.024344      | 27.134171     | 0.00x

1000     | 1024     | KMeans Torch CPU vs GPU        | 0.010847      | 0.008777      | 1.24x
1000     | 1024     | KMeans CuPy 1                  | 0.831034      | 0.149983      | 5.54x
1000     | 1024     | KMeans CuPy 2                  | 0.585317      | 0.024895      | 23.51x
1000     | 1024     | KMeans l2 vs. cosine           | 0.020946      | 0.007484      | 2.80x

4000000  | 2        | KMeans Torch CPU vs GPU        | 3.765424      | 3.739997      | 1.01x
4000000  | 2        | KMeans CuPy 1                  | 361.286363    | 6.085319      | 59.37x
4000000  | 2        | KMeans CuPy 2                  | 382.498766    | 46.647440     | 8.20x
4000000  | 2        | KMeans l2 vs. cosine           | 48.709424     | 1.030022      | 47.29x

1000     | 65536    | KMeans Torch CPU vs GPU        | 0.325692      | 0.325605      | 1.00x
1000     | 65536    | KMeans CuPy 1                  | 186.643122    | 10.221035     | 18.26x
1000     | 65536    | KMeans CuPy 2                  | 206.013548    | 4.090724      | 50.36x
1000     | 65536    | KMeans l2 vs. cosine           | 0.445266      | 0.388725      | 1.15x
